medal,beer_name,brewery,city,state,category,year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Bronze,KC3=BCsterer Original Weissbier,Cedar Springs Brewing Co.,Cedar Springs,MI,German-Style Wheat Ale,2016,43.175953,-85.514105,1,place,,,,,Cedar Springs,MI,Kent County,49319,US,TIGER/Line® dataset from the US Census Bureau
Gold,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2016,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Copperhead,Greenview Brewing,Madison,WI,Gluten-Free Beer,2016,43.06956,-89.423861,1,place,,,,,Madison,WI,Dane County,53701,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Grapefruit IPA,Ghostfish Brewing Company,Seattle,WA,Gluten-Free Beer,2016,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Gold,Kirby,Echo Brewing Co.,Frederick,CO,Golden or Blonde Ale,2016,40.09915,-104.9372,1,place,,,,,Frederick,CO,Weld County,80530,US,TIGER/Line® dataset from the US Census Bureau
Silver,Miss Conduct,Moonraker Brewing Co.,Auburn,CA,Golden or Blonde Ale,2016,39.014933,-121.07047,1,place,,,,,Auburn,CA,Placer County,95602,US,TIGER/Line® dataset from the US Census Bureau
Bronze,German Blonde Ale,Bemidji Brewing Co.,Bemidji,MN,Golden or Blonde Ale,2016,47.571964,-94.801272,1,place,,,,,Bemidji,MN,Beltrami County,56601,US,TIGER/Line® dataset from the US Census Bureau
Gold,NoDajito,NoDa Brewing Co. - Davidson,Charlotte,NC,Herb and Spice Beer,2016,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Ginger American Ale,Broken Compass Brewing,Breckenridge,CO,Herb and Spice Beer,2016,39.475323,-106.022472,1,place,,,,,Breckenridge,CO,Summit County,80424,US,TIGER/Line® dataset from the US Census Bureau
Bronze,1634 Ale,Brewer's Alley Restaurant & Brewery,Frederick,MD,Herb and Spice Beer,2016,39.443551,-77.33294,1,place,,,,,Frederick,MD,Frederick County,21701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Valhalla,El Rancho Brewing,Evergreen,CO,Historical Beer,2016,39.522014,-105.223945,1,place,,,,,Evergreen,CO,Jefferson County,80437,US,TIGER/Line® dataset from the US Census Bureau
Silver,Grosse Teufel,Hardywood Park Craft Brewery,Richmond,VA,Historical Beer,2016,37.524246,-77.493157,1,place,,,,,Richmond,VA,Richmond city,23218,US,TIGER/Line® dataset from the US Census Bureau
Gold,Jetty Cream Ale,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2016,40.705138,-73.243004,1,place,,,,,Bay Shore,NY,Suffolk County,11706,US,TIGER/Line® dataset from the US Census Bureau
Silver,Spring Fever,FiftyFifty Brewing Co.,Truckee,CA,Honey Beer,2016,39.3781,-120.186383,1,place,,,,,Truckee,CA,Nevada County,96160,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Belgian Honey Blonde Ale,No Clue Craft Brewery,Rancho Cucamonga,CA,Honey Beer,2016,34.839964,-115.967051,1,place,,,,,Rancho Cucamonga,CA,San Bernardino County,91729,US,TIGER/Line® dataset from the US Census Bureau
Gold,Humulus Insani,Uberbrew,Billings,MT,Imperial India Pale Ale,2016,45.686966,-108.387392,1,place,,,,,Billings,MT,Yellowstone County,59101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Nobility,Noble Ale Works,Anaheim,CA,Imperial India Pale Ale,2016,33.844983,-117.952151,1,place,,,,,Anaheim,CA,Orange County,92801,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Hop JuJu Imperial IPA,Fat Head's Brewery,Middleburg Heights,OH,Imperial India Pale Ale,2016,41.36144,-81.812912,0.8,place,,,,,Middleburg Heights,OH,Cuyahoga County,44130,US,TIGER/Line® dataset from the US Census Bureau
Gold,Paradocs Red Imperial IPA,Raised Grain Brewing Co.,Waukesha,WI,Imperial Red Ale,2016,43.022155,-88.204676,1,place,,,,,Waukesha,WI,Waukesha County,53186,US,TIGER/Line® dataset from the US Census Bureau
Silver,reDANKulous - Backstage Series,Founders Brewing Co.,Grand Rapids,MI,Imperial Red Ale,2016,42.984226,-85.629101,1,place,,,,,Grand Rapids,MI,Kent County,49501,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Wreak Havoc,Bootstrap Brewing Co.,Niwot,CO,Imperial Red Ale,2016,40.10387,-105.17082,1,place,,,,,Niwot,CO,Boulder County,80544,US,TIGER/Line® dataset from the US Census Bureau
Gold,The Russian,2SP Brewing Co.,Aston,PA,Imperial Stout,2016,39.864907,-75.432958,1,place,,,,,Aston,PA,Delaware County,19014,US,TIGER/Line® dataset from the US Census Bureau
Silver,Gatling Gun Imperial Stout,BNS Brewing & Distilling Co.,Santee,CA,Imperial Stout,2016,32.843956,-116.994511,1,place,,,,,Santee,CA,San Diego County,92071,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Iron Triangle Jawbone,Iron Triangle Brewing Co.,Los Angeles,CA,Imperial Stout,2016,33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Highlander Devil's Hump Red Ale,Missoula Brewing Co.,Missoula,MT,Irish-Style Red Ale,2016,46.856398,-114.014338,1,place,,,,,Missoula,MT,Missoula County,59801,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Riley's Irish Red,The Packinghouse Brewing Co.,Riverside,CA,Irish-Style Red Ale,2016,33.99504,-117.373184,1,place,,,,,Riverside,CA,Riverside County,92501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Sunnyside Dweller,Ocelot Brewing,Sterling,VA,Kellerbier or Zwickelbier,2016,39.085309,-77.645224,1,place,,,,,Sterling,VA,Loudoun County,20163,US,TIGER/Line® dataset from the US Census Bureau
Silver,Kelly Alt,Snake River Brewing Co.,Jackson,WY,Kellerbier or Zwickelbier,2016,43.452793,-110.739266,1,place,,,,,Jackson,WY,Teton County,83001,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pilsner,Marble Brewery,Albuquerque,NM,Kellerbier or Zwickelbier,2016,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,DAM Wild: Marionberry Pink Peppercorn,Flat Tail Brewing Co.,Corvallis,OR,Mixed-Culture Brett Beer,2016,44.639931,-123.275969,1,place,,,,,Corvallis,OR,Benton County,97330,US,TIGER/Line® dataset from the US Census Bureau
Gold,Chuckanut Helles,Chuckanut Brewery,Bellingham,WA,Munich-Style Helles,2016,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Helles,Dry Dock Brewing Co. - South Dock,Aurora,CO,Munich-Style Helles,2016,39.739249,-104.862881,1,place,,,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Hell Yes,The Austin Beer Garden Brewing Co.,Austin,TX,Munich-Style Helles,2016,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Silver,Backside Stout,Steamworks Brewing Co.,Durango,CO,Oatmeal Stout,2016,37.318364,-107.880367,1,place,,,,,Durango,CO,La Plata County,81301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Feelin' Your Oats,SLO Brew,San Luis Obispo,CA,Oatmeal Stout,2016,35.265573,-120.62122,1,place,,,,,San Luis Obispo,CA,San Luis Obispo County,93401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Irish Walker,Olde Hickory Brewery,Hickory,NC,Old Ale or Strong Ale,2016,35.758221,-81.308224,1,place,,,,,Hickory,NC,Catawba County,28601,US,TIGER/Line® dataset from the US Census Bureau
Silver,COLOSSAL FIVE,Port City Brewing Co.,Alexandria,VA,Old Ale or Strong Ale,2016,38.819853,-77.059645,1,place,,,,,Alexandria,VA,Alexandria city,22301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Old Silenus Ale,Migration Brewing Co.,Portland,OR,Old Ale or Strong Ale,2016,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gold,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,Ordinary or Special Bitter,2016,35.640598,-120.700313,1,place,,,,,Paso Robles,CA,San Luis Obispo County,93446,US,TIGER/Line® dataset from the US Census Bureau
Silver,Drop Top Amber Ale,Craft Brew Alliance - Widmer,Portland,OR,Ordinary or Special Bitter,2016,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Special Bitter,Redwood Curtain Brewing Co.,Arcata,CA,Ordinary or Special Bitter,2016,40.881383,-123.984232,1,place,,,,,Arcata,CA,Humboldt County,95518,US,TIGER/Line® dataset from the US Census Bureau
Silver,Standard Issue,Central Standard Brewing,Wichita,KS,Other Belgian-Style Ale,2016,37.651974,-97.258997,1,place,,,,,Wichita,KS,Sedgwick County,67201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Petite Classique,The Commons Brewery,Portland,OR,Other Belgian-Style Ale,2016,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Anodyne Wheat Wine,Revolver Brewing,Granbury,TX,Other Strong Beer,2016,32.435405,-97.844867,1,place,,,,,Granbury,TX,Hood County,76048,US,TIGER/Line® dataset from the US Census Bureau
Silver,Black Muddy River,Fat Head's Brewery & Saloon,North Olmsted,OH,Other Strong Beer,2016,41.417347,-81.922461,1,place,,,,,North Olmsted,OH,Cuyahoga County,44070,US,TIGER/Line® dataset from the US Census Bureau
Gold,Just RyeE2=80=99te,Panther Island Brewing Co.,Fort Worth,TX,Proam,2016,32.771419,-97.291484,1,place,,,,,Fort Worth,TX,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,The Kolsch Experiment,Altitude Chophouse and Brewery,Laramie,WY,Proam,2016,41.43902,-105.801022,1,place,,,,,Laramie,WY,Albany County,82070,US,TIGER/Line® dataset from the US Census Bureau
Gold,Pump Action Imperial Pumpkin Ale,4 Noses Brewing Co.,Broomfield,CO,Pumpkin Spice Beer,2016,39.930782,-105.074287,0.9,place,,,,,Broomfield,CO,Adams County,80020,US,TIGER/Line® dataset from the US Census Bureau
Silver,Twisted Gourd,South Street Brewery,Charlottesville,VA,Pumpkin Spice Beer,2016,38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin Spice Beer,2016,46.272241,-113.435709,1,place,,,,,Philipsburg,MT,Granite County,59858,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Butt-Ah Nut,BTU Brasserie,Portland,OR,Pumpkin/Squash Beer,2016,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Shallow Grave,Heretic Brewing Co.,Fairfield,CA,Robust Porter,2016,38.278428,-122.020276,1,place,,,,,Fairfield,CA,Solano County,94533,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Point Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,2016,37.936624,-122.534237,1,place,,,,,Larkspur,CA,Marin County,94939,US,TIGER/Line® dataset from the US Census Bureau
Silver,Rock-Biter Roggenbier,Hop Dogma Brewing Co.,El Granada,CA,Rye Beer,2016,37.510085,-122.473404,1,place,,,,,El Granada,CA,San Mateo County,94018,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Runaround Rye Ale,Roundhouse Brewery,Brainerd,MN,Rye Beer,2016,46.350195,-94.099983,1,place,,,,,Brainerd,MN,Crow Wing County,56401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Oh My Darlyn!,Revelry Brewing Co.,Charleston,SC,Scotch Ale,2016,32.780326,-79.940844,1,place,,,,,Charleston,SC,Charleston County,29401,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Going Plaid,Fifty West Brewing Co.,Cincinnati,OH,Scotch Ale,2016,39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Scottish Ale,Two Kilts Brewing,Sherwood,OR,Scottish-Style Ale,2016,45.371478,-122.874613,1,place,,,,,Sherwood,OR,Washington County,97140,US,TIGER/Line® dataset from the US Census Bureau
Bronze,McGreagor Scottish Ale,Kootenai River Brewing Co.,Bonners Ferry,ID,Scottish-Style Ale,2016,48.814078,-116.398202,1,place,,,,,Bonners Ferry,ID,Boundary County,83805,US,TIGER/Line® dataset from the US Census Bureau
Silver,Oatmeal Stout,Benchmark Brewing Co.,San Diego,CA,Session Beer,2016,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Slippery When Wit,South Street Brewery,Charlottesville,VA,Session Beer,2016,38.026588,-78.48045,1,place,,,,,Charlottesville,VA,Charlottesville city,22902,US,TIGER/Line® dataset from the US Census Bureau
Gold,Trump Hands,Cannonball Creek Brewing Co.,Golden,CO,Session India Pale Ale,2016,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Pace Car Racer,Bear Republic Brewing Co. - Production Facility,Cloverdale,CA,Session India Pale Ale,2016,38.823075,-123.063567,1,place,,,,,Cloverdale,CA,Sonoma County,95425,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Mosaic Session IPA,Karl Strauss Brewing Co. - San Diego,San Diego,CA,Session India Pale Ale,2016,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Raucher,Wolverine State Brewing Co.,Ann Arbor,MI,Smoke Beer,2016,42.266638,-83.849042,1,place,,,,,Ann Arbor,MI,Washtenaw County,48103,US,TIGER/Line® dataset from the US Census Bureau
Silver,Cowboy Curtis,Arts District Brewing Co.,Los Angeles,CA,Smoke Beer,2016,33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Windansea Wheat,Karl Strauss Brewing Co. - San Diego,San Diego,CA,South German-Style Hefeweizen,2016,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Silver,WeiC3==9Fbier,Prost Brewing,Denver,CO,South German-Style Hefeweizen,2016,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Shotgun Betty,Lonerider Brewing Co.,Raleigh,NC,South German-Style Hefeweizen,2016,35.773632,-78.634457,1,place,,,,,Raleigh,NC,Wake County,27601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Campfire Stout,High Water Brewing,Stockton,CA,Specialty Beer,2016,37.672196,-121.298794,1,place,,,,,Stockton,CA,San Joaquin County,95201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,GAZPROM!,Lion Bridge Brewing Co.,Cedar Rapids,IA,Specialty Beer,2016,41.976612,-91.657578,1,place,,,,,Cedar Rapids,IA,Linn County,52401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Six Finger Sam Saison,Two Rivers Brewing Co.,Easton,PA,Specialty Saison,2016,40.746007,-75.225665,1,place,,,,,Easton,PA,Northampton County,18040,US,TIGER/Line® dataset from the US Census Bureau
Silver,#4 Saison,Brown Truck Brewery,High Point,NC,Specialty Saison,2016,35.954467,-79.987882,1,place,,,,,High Point,NC,Guilford County,27260,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Creme de Peche,The Commons Brewery,Portland,OR,Specialty Saison,2016,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Duck-Rabbit Milk Stout,Duck-Rabbit Craft Brewery,Farmville,NC,Sweet Stout or Cream Stout,2016,35.59544,-77.58525,1,place,,,,,Farmville,NC,Pitt County,27828,US,TIGER/Line® dataset from the US Census Bureau
Gold,Vienna Lager,Devils Backbone Brewing Co. - Outpost Production Facility,Lexington,VA,Vienna-Style Lager,2016,37.779976,-79.443495,1,place,,,,,Lexington,VA,Lexington city,24450,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Churchville Lager,Neshaminy Creek Brewing Co.,Croydon,PA,Vienna-Style Lager,2016,40.090878,-74.887554,1,place,,,,,Croydon,PA,Bucks County,19021,US,TIGER/Line® dataset from the US Census Bureau
Gold,Drama Queen,Denver Beer Co. - Canworks,Denver,CO,Wood- and Barrel-Aged Beer,2016,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Sour Project Ale,Adirondack Pub and Brewery,Lake George,NY,Wood- and Barrel-Aged Sour Beer,2016,43.42618,-73.71234,1,place,,,,,Lake George,NY,Warren County,12845,US,TIGER/Line® dataset from the US Census Bureau
Silver,Avant-Chard,Historic Brewing Co.,Flagstaff,AZ,Wood- and Barrel-Aged Sour Beer,2016,35.287661,-111.639303,1,place,,,,,Flagstaff,AZ,Coconino County,86001,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Angelina,Brewery Vivant,Grand Rapids,MI,Wood- and Barrel-Aged Sour Beer,2016,42.984226,-85.629101,1,place,,,,,Grand Rapids,MI,Kent County,49501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Silent Warrior,TAPS Fish House and Brewery - Corona,Corona,CA,Wood- and Barrel-Aged Strong Beer,2016,33.752886,-116.055617,1,place,,,,,Corona,CA,Riverside County,91718,US,TIGER/Line® dataset from the US Census Bureau
Silver,MC3==A9lange A Trois,Nebraska Brewing Co. - Papillion,Papillion,NE,Wood- and Barrel-Aged Strong Beer,2016,41.118594,-96.060367,1,place,,,,,Papillion,NE,Sarpy County,68046,US,TIGER/Line® dataset from the US Census Bureau
Bronze,15th Anniversary Ale,Island Brewing Co.,Carpinteria,CA,Wood- and Barrel-Aged Strong Beer,2016,34.405045,-119.520525,1,place,,,,,Carpinteria,CA,Santa Barbara County,93013,US,TIGER/Line® dataset from the US Census Bureau
Gold,Barrel-Aged Darkness,Surly Brewing Co.,Brooklyn Center,MN,Wood- and Barrel-Aged Strong Stout,2016,45.076076,-93.3327284,0,,,,,,,,,,,
Silver,The Event Horizon,Olde Hickory Brewery,Hickory,NC,Wood- and Barrel-Aged Strong Stout,2016,35.758221,-81.308224,1,place,,,,,Hickory,NC,Catawba County,28601,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Little Nonsense,Verboten Brewing,Loveland,CO,Wood- and Barrel-Aged Strong Stout,2016,40.364469,-105.179966,1,place,,,,,Loveland,CO,Larimer County,80537,US,TIGER/Line® dataset from the US Census Bureau
Gold,Big Deluxe,Ritual Brewing Co.,Redlands,CA,Aged Beer,2015,34.011935,-117.159696,1,place,,,,,Redlands,CA,San Bernardino County,92373,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Old Diablo,Morgan Territory Brewing,Tracy,CA,Aged Beer,2015,37.737191,-121.433384,1,place,,,,,Tracy,CA,San Joaquin County,95376,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Salad Days American Saison,Pale Fire Brewing Co.,Harrisonburg,VA,American-Belgo-Style Ale,2015,38.422777,-78.877137,1,place,,,,,Harrisonburg,VA,Harrisonburg city,22801,US,TIGER/Line® dataset from the US Census Bureau
Gold,Auburn Lager,Mad Anthony Brewing Co.,Fort Wayne,IN,American-Style Amber Lager,2015,41.093763,-85.070713,1,place,,,,,Fort Wayne,IN,Allen County,46801,US,TIGER/Line® dataset from the US Census Bureau
Silver,Karbachtoberfest,Karbach Brewing Co.,Houston,TX,American-Style Amber Lager,2015,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Bronze,St. Florian's Brewery California Common,St. Florian's Brewery,Windsor,CA,American-Style Amber Lager,2015,38.532827,-122.8041,1,place,,,,,Windsor,CA,Sonoma County,95492,US,TIGER/Line® dataset from the US Census Bureau
Gold,Immersion Amber Ale,Two Beers Brewing Co.,Seattle,WA,American-Style Amber/Red Ale,2015,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Sharkbite Red,Pizza Port Bressi Ranch,Carlsbad,CA,American-Style Amber/Red Ale,2015,33.144219,-117.319439,1,place,,,,,Carlsbad,CA,San Diego County,92008,US,TIGER/Line® dataset from the US Census Bureau
Gold,Midnight Moonlight,Fat Head's Brewery - N. Olmstead,North Olmsted,OH,American-Style Black Ale,2015,41.417347,-81.922461,1,place,,,,,North Olmsted,OH,Cuyahoga County,44070,US,TIGER/Line® dataset from the US Census Bureau
Silver,Singularity,Karl Strauss Brewing Co. - Costa Mesa,Costa Mesa,CA,American-Style Black Ale,2015,33.678399,-117.911715,1,place,,,,,Costa Mesa,CA,Orange County,92626,US,TIGER/Line® dataset from the US Census Bureau
Silver,Rapture Fusion Brown Ale,Rabbit Hole Brewing,Justin,TX,American-Style Brown Ale,2015,33.08484,-97.29613,1,place,,,,,Justin,TX,Denton County,76247,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Restraint,Institution Ale Co.,Camarillo,CA,American-Style Brown Ale,2015,34.227855,-119.079869,1,place,,,,,Camarillo,CA,Ventura County,93010,US,TIGER/Line® dataset from the US Census Bureau
Silver,Olympia,Pabst Brewing Co.,Los Angeles,CA,American-Style Cream Ale,2015,33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Nuff,Dale Bros Brewery,Upland,CA,American-Style Cream Ale,2015,34.141146,-117.655583,1,place,,,,,Upland,CA,San Bernardino County,91784,US,TIGER/Line® dataset from the US Census Bureau
Gold,Lagerithm,Bottle Logic Brewing,Anaheim,CA,American-Style Dark Lager,2015,33.844983,-117.952151,1,place,,,,,Anaheim,CA,Orange County,92801,US,TIGER/Line® dataset from the US Census Bureau
Silver,Lighter Than I Look,Figueroa Mountain Brewing - Arroyo Grande,Arroyo Grande,CA,American-Style Dark Lager,2015,35.176005,-120.476742,1,place,,,,,Arroyo Grande,CA,San Luis Obispo County,93420,US,TIGER/Line® dataset from the US Census Bureau
Gold,Chchchch-Cherry Bomb,Melvin Brewing,Jackson,WY,American-Style Fruit Beer,2015,43.452793,-110.739266,1,place,,,,,Jackson,WY,Teton County,83001,US,TIGER/Line® dataset from the US Census Bureau
Silver,Rasplendent,Mazama Brewing Co.,Corvallis,OR,American-Style Fruit Beer,2015,44.639931,-123.275969,1,place,,,,,Corvallis,OR,Benton County,97330,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Apricot Blonde,Dry Dock Brewing Co. - Production Facility,Aurora,CO,American-Style Fruit Beer,2015,39.739249,-104.862881,1,place,,,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau
Gold,Revolver IPA,BNS Brewing & Distilling Co.,Santee,CA,American-Style India Pale Ale,2015,32.843956,-116.994511,1,place,,,,,Santee,CA,San Diego County,92071,US,TIGER/Line® dataset from the US Census Bureau
Bronze,White Rajah,The Brew Kettle Taproom and Smokehouse,Strongsville,OH,American-Style India Pale Ale,2015,41.313268,-81.831656,1,place,,,,,Strongsville,OH,Cuyahoga County,44136,US,TIGER/Line® dataset from the US Census Bureau
Gold,Coors Banquet,Coors Brewing Co.,Golden,CO,American-Style Lager or Light Lager,2015,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Summer Siesta Mexican Lager,Lone Tree Brewing Co.,Lone Tree,CO,American-Style Lager or Light Lager,2015,37.16806,-107.17282,0.8,place,,,,,Lonetree,CO,Archuleta County,81147,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Southern Girl Lager,Sycamore Brewing,Charlotte,NC,American-Style Lager or Light Lager,2015,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Amend This!,TAPS Fish House & Brewery - Brea,Brea,CA,American-Style or International-Style Pilsener,2015,33.927561,-117.887086,1,place,,,,,Brea,CA,Orange County,92821,US,TIGER/Line® dataset from the US Census Bureau
Gold,Monterey St. Pale Ale,Central Coast Brewing Co.,San Luis Obispo,CA,American-Style Pale Ale,2015,35.265573,-120.62122,1,place,,,,,San Luis Obispo,CA,San Luis Obispo County,93401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hoppy Palm,Track 7 Brewing Co. - Natomas,Sacramento,CA,American-Style Pale Ale,2015,38.380456,-121.555406,1,place,,,,,Sacramento,CA,Sacramento County,94203,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,American-Style Pale Ale,2015,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Savant Blanc,Perennial Artisan Ales,Saint Louis,MO,American-Style Sour Ale,2015,38.631501,-90.19231,1,place,,,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Ensorcelled,The Rare Barrel,Berkeley,CA,American-Style Sour Ale,2015,37.860576,-122.29673,1,place,,,,,Berkeley,CA,Alameda County,94701,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Apropos of Nothing,The Rare Barrel,Berkeley,CA,American-Style Sour Ale,2015,37.860576,-122.29673,1,place,,,,,Berkeley,CA,Alameda County,94701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Disorder Stout,Barley Brown's Brewpub,Baker City,OR,American-Style Stout,2015,44.77487,-117.83438,1,place,,,,,Baker City,OR,Baker County,97814,US,TIGER/Line® dataset from the US Census Bureau
Silver,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2015,43.603768,-116.272921,1,place,,,,,Boise,ID,Ada County,83701,US,TIGER/Line® dataset from the US Census Bureau
Bronze,P2P,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2015,44.082037,-121.227125,1,place,,,,,Bend,OR,Deschutes County,97701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Ratchet Strap IPA,Barley Brown's Beer,Baker City,OR,American-Style Strong Pale Ale,2015,44.77487,-117.83438,1,place,,,,,Baker City,OR,Baker County,97814,US,TIGER/Line® dataset from the US Census Bureau
Silver,Via Chicago,CODA Brewing Co.,Aurora,CO,American-Style Strong Pale Ale,2015,39.739249,-104.862881,1,place,,,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau
Bronze,3C India Pale Ale,Triple C Brewing,Charlotte,NC,American-Style Strong Pale Ale,2015,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Super 77 Wheat,Wiley Roots Brewing Co.,Greeley,CO,American-Style Wheat Beer,2015,40.384991,-104.680631,1,place,,,,,Greeley,CO,Weld County,80631,US,TIGER/Line® dataset from the US Census Bureau
Silver,Whacked Out Wheat,Telluride Brewing Co.,Telluride,CO,American-Style Wheat Beer,2015,37.93749,-107.81229,1,place,,,,,Telluride,CO,San Miguel County,81435,US,TIGER/Line® dataset from the US Census Bureau
